552,Silverado Resort and Spa North,"Napa, California",72,7123
746,Country Club of Jackson,"Jackson, Mississippi",72,7461
244,Corales Golf Course,Punta Cana,72,7666
891,Winged Foot Golf Club,"Mamaroneck, New York",70,7469
538,TPC Summerlin,"Las Vegas, Nevada",71,7255
878,Shadow Creek Golf Course,"Las Vegas, Nevada",72,7527
881,Sherwood Country Club,"Thousand Oaks, California",72,7073
765,Port Royal Golf Course,Southampton,71,6828
897,Memorial Park Golf Course,"Houston, Texas",70,7432
14,Augusta National Golf Club,"Augusta, Georgia",72,7475
776,Sea Island Resort (Seaside),"Sea Island, Georgia",70,7005
889,Sea Island Resort (Plantation),"Sea Island, Georgia",72,7060
733,El Camaleon Golf Club,Riviera Maya,71,7017
678,Tiburón Golf Course,"Naples, Florida",72,7382
656,Plantation Course at Kapalua,"Kapalua, Maui, Hawaii",73,7596
6,Waialae Country Club,"Honolulu, Hawaii",70,7044
704,PGA WEST (Stadium),"La Quinta, California",72,7147
233,Nicklaus Tournament Course,"La Quinta, California",72,7181
4,Torrey Pines (South),"San Diego, California",72,7765
104,Torrey Pines (North),"San Diego, California",72,7258
510,TPC Scottsdale,"Scottsdale, Arizona",71,7261
5,Pebble Beach Golf Links,"Pebble Beach, California",72,7051
205,Spyglass Hill Golf Course,"Pebble Beach, California",72,7041
742,Grand Reserve Country Club,Rio Grande,72,7506
500,The Riviera Country Club,"Pacific Palisades, California",71,7322
898,The Concession Golf Club,"Bradenton, Florida",72,7564
9,Bay Hill Club & Lodge,"Orlando, Florida",72,7466
11,TPC Sawgrass,"Ponte Vedra Beach, Florida",72,7189
734,PGA National (Champion),"Palm Beach Gardens, Florida",70,7125
244,Corales Golf Course,Punta Cana,72,7670
185,Austin Country Club,"Austin, Texas",71,7108
770,TPC San Antonio (Oaks Course),"San Antonio, Texas",72,7494
14,Augusta National Golf Club,"Augusta, Georgia",72,7475
12,Harbour Town Golf Links,"Hilton Head, South Carolina",71,7121
714,TPC Louisiana,"Avondale, Louisiana",72,7425
665,Innisbrook Resort (Copperhead),"Palm Harbor, Florida",71,7340
872,Quail Hollow Club,"Charlotte, North Carolina",71,7521
894,TPC Craig Ranch,"McKinney, Texas",72,7468
697,Ocean Course at Kiawah Island,"Kiawah Island, South Carolina",72,7876
21,Colonial Country Club,"Fort Worth, Texas",70,7209
23,Muirfield Village Golf Club,"Dublin, Ohio",72,7543
902,Congaree Golf Club,"Ridgeland, South Carolina",71,7655
744,Torrey Pines (South),"San Diego, California",71,7685
503,TPC River Highlands,"Cromwell, Connecticut",70,6841
876,Detroit Golf Club,"Detroit, Michigan",72,7370
669,TPC Deere Run,"Silvis, Illinois",71,7268
884,Keene Trace Golf Club,"Nicholasville, Kentucky",72,7328
778,Royal St. George's GC,"Sandwich, Kent",70,7189
883,TPC Twin Cities,"Blaine, Minnesota",71,7431
887,Kasumigaseki Country Club,Saitama,71,7447
890,Tahoe Mt. Club (Old Greenwood),"Truckee, California",71,7425
513,TPC Southwind,"Memphis, Tennessee",70,7233
752,Sedgefield Country Club,"Greensboro, North Carolina",70,7131
886,Liberty National Golf Club,"Jersey City, New Jersey",71,7410
882,Caves Valley Golf Club,"Owings Mills, Maryland",72,7542
688,East Lake Golf Club,"Atlanta, Georgia",70,7346
904,Whistling Straits,"Sheboygan, Wisconsin",71,7355
899,The Summit Club,"Las Vegas, Nevada",72,7431
875,Accordia Golf Narashino CC,Chiba,70,7041
232,Albany,New Providence,72,7309
202,La Quinta Country Club,"La Quinta, California",72,7060
769,Monterey Peninsula CC,"Pebble Beach, California",71,6958
237,TPC Potomac at Avenel Farm,"Potomac, Maryland",70,7107
611,Southern Hills CC,"Tulsa, Oklahoma",70,7131
772,St. George's G&CC,"Toronto, ON",70,7079
654,The Country Club,"Brookline, Massachusetts",71,7033
668,St. Andrews GC (Old Course),Fife,72,7279
901,Wilmington Country Club,"Wilmington, Delaware",0,0
